Actividad Económica,Fecha,Cotizantes
"Agricultura, ganadería, caza y silvicultura",01/01/2020,107460
Pesca,01/01/2020,26
Explotación de minas y canteras,01/01/2020,2778
Industrias manufactureras,01/01/2020,202339
"Suministro de electricidad, gas y agua",01/01/2020,7356
Construcción,01/01/2020,23328
Comercio al por mayor y al por menor,01/01/2020,185152
Hoteles y restaurantes,01/01/2020,43925
"Transporte, almacenamiento y comunicaciones",01/01/2020,52453
Intermediación financiera,01/01/2020,65415
"Actividades inmobiliarias, empresariales y de alquiler",01/01/2020,157405
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/01/2020,290720
Enseñanza,01/01/2020,40653
Servicios sociales y de salud,01/01/2020,19439
"Otras actividades de servicios comunitarios, sociales y personales",01/01/2020,149643
Actividades de hogares privados como empleadores,01/01/2020,415
Organizaciones y órganos extraterritoriales,01/01/2020,1357
Total,01/01/2020,1349864
"Agricultura, ganadería, caza y silvicultura",01/02/2020,106864
Pesca,01/02/2020,26
Explotación de minas y canteras,01/02/2020,2630
Industrias manufactureras,01/02/2020,188378
"Suministro de electricidad, gas y agua",01/02/2020,11541
Construcción,01/02/2020,20886
Comercio al por mayor y al por menor,01/02/2020,176756
Hoteles y restaurantes,01/02/2020,36748
"Transporte, almacenamiento y comunicaciones",01/02/2020,52249
Intermediación financiera,01/02/2020,65573
"Actividades inmobiliarias, empresariales y de alquiler",01/02/2020,147559
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/02/2020,302470
Enseñanza,01/02/2020,45575
Servicios sociales y de salud,01/02/2020,18566
"Otras actividades de servicios comunitarios, sociales y personales",01/02/2020,145033
Actividades de hogares privados como empleadores,01/02/2020,394
Organizaciones y órganos extraterritoriales,01/02/2020,1122
Total,01/02/2020,1322370
"Agricultura, ganadería, caza y silvicultura",01/03/2020,94654
Pesca,01/03/2020,70
Explotación de minas y canteras,01/03/2020,2748
Industrias manufactureras,01/03/2020,193951
"Suministro de electricidad, gas y agua",01/03/2020,11098
Construcción,01/03/2020,18263
Comercio al por mayor y al por menor,01/03/2020,178816
Hoteles y restaurantes,01/03/2020,39115
"Transporte, almacenamiento y comunicaciones",01/03/2020,49875
Intermediación financiera,01/03/2020,64577
"Actividades inmobiliarias, empresariales y de alquiler",01/03/2020,148277
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/03/2020,312006
Enseñanza,01/03/2020,45213
Servicios sociales y de salud,01/03/2020,17804
"Otras actividades de servicios comunitarios, sociales y personales",01/03/2020,141286
Actividades de hogares privados como empleadores,01/03/2020,735
Organizaciones y órganos extraterritoriales,01/03/2020,1041
Total,01/03/2020,1319529
"Agricultura, ganadería, caza y silvicultura",01/04/2020,91776
Pesca,01/04/2020,60
Explotación de minas y canteras,01/04/2020,2740
Industrias manufactureras,01/04/2020,168453
"Suministro de electricidad, gas y agua",01/04/2020,11167
Construcción,01/04/2020,15204
Comercio al por mayor y al por menor,01/04/2020,173186
Hoteles y restaurantes,01/04/2020,31623
"Transporte, almacenamiento y comunicaciones",01/04/2020,49120
Intermediación financiera,01/04/2020,63985
"Actividades inmobiliarias, empresariales y de alquiler",01/04/2020,146117
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,01/04/2020,317484
Enseñanza,01/04/2020,46906
Servicios sociales y de salud,01/04/2020,17503
"Otras actividades de servicios comunitarios, sociales y personales",01/04/2020,128261
Actividades de hogares privados como empleadores,01/04/2020,667
